type_propriete,quartier,arrondissement,capacite_accueil,salle_de_bain,chambres,lits,prix,nb_commentaires,note_moyenne,nb_mois_en_activite
Complète,Buttes-Montmartre,75018,2,1.0,,1.0,45.0,3,93.0,1.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,70.0,44,97.0,72.0
Complète,Buttes-Chaumont,75019,3,1.0,1.0,2.0,70.0,74,92.0,51.0
Complète,Popincourt,75011,4,1.0,1.0,2.0,80.0,8,89.0,2.0
Complète,Batignolles-Monceau,75017,2,1.0,1.0,0.0,215.0,25,98.0,61.0
Complète,Élysée,75008,2,0.0,,0.0,121.0,0,,
Chambre privée,Gobelins,75013,4,1.0,1.0,2.0,100.0,5,76.0,1.0
Complète,Bourse,75002,2,1.0,,1.0,50.0,16,92.0,57.0
Complète,Gobelins,75013,2,1.0,1.0,2.0,70.0,63,96.0,78.0
Complète,Opéra,75009,4,1.0,1.0,2.0,105.0,0,,
Complète,Ménilmontant,75020,5,1.0,2.0,3.0,100.0,12,98.0,56.0
Complète,Buttes-Montmartre,75018,4,1.0,2.0,0.0,68.0,25,90.0,53.0
Complète,Palais-Bourbon,75007,1,1.0,,1.0,40.0,4,87.0,3.0
Complète,Vaugirard,75015,2,1.0,1.0,1.0,43.0,17,89.0,36.0
Complète,Opéra,75009,4,1.0,2.0,2.0,140.0,1,80.0,0.0
Complète,Vaugirard,75015,2,1.0,1.0,1.0,80.0,37,93.0,31.0
Complète,Vaugirard,75015,3,1.0,,1.0,80.0,10,94.0,18.0
Complète,Panthéon,75005,2,1.0,1.0,1.0,73.0,30,97.0,53.0
Complète,Ménilmontant,75020,2,1.0,,1.0,45.0,47,86.0,65.0
Complète,Gobelins,75013,3,1.0,1.0,2.0,60.0,6,100.0,7.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,2.0,70.0,0,,
Complète,Batignolles-Monceau,75017,4,1.0,1.0,2.0,50.0,5,65.0,63.0
Chambre privée,Buttes-Montmartre,75018,2,1.0,1.0,1.0,25.0,20,87.0,70.0
Chambre privée,Buttes-Chaumont,75019,1,1.0,1.0,0.0,55.0,5,90.0,51.0
Complète,Entrepôt,75010,1,1.0,1.0,1.0,40.0,12,87.0,38.0
Complète,Passy,75016,4,1.0,2.0,2.0,100.0,2,90.0,0.0
Chambre privée,Popincourt,75011,2,1.0,1.0,1.0,34.0,7,97.0,26.0
Complète,Buttes-Montmartre,75018,5,1.0,2.0,3.0,120.0,28,95.0,63.0
Complète,Opéra,75009,6,2.5,3.0,3.0,500.0,0,,
Chambre privée,Reuilly,75012,2,1.0,1.0,1.0,76.0,37,91.0,15.0
Complète,Luxembourg,75006,4,1.0,1.0,1.0,450.0,99,92.0,61.0
Complète,Buttes-Chaumont,75019,5,1.0,1.0,3.0,96.0,19,92.0,39.0
Complète,Observatoire,75014,4,1.0,2.0,2.0,194.0,1,40.0,0.0
Complète,Buttes-Chaumont,75019,2,3.0,1.0,1.0,70.0,3,87.0,5.0
Chambre privée,Élysée,75008,1,1.0,1.0,1.0,60.0,198,97.0,74.0
Complète,Entrepôt,75010,2,1.0,,1.0,65.0,0,,
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,60.0,0,,
Complète,Buttes-Chaumont,75019,3,1.0,,2.0,35.0,0,,
Chambre privée,Popincourt,75011,2,1.0,1.0,1.0,39.0,193,86.0,74.0
Complète,Buttes-Montmartre,75018,5,1.0,1.0,3.0,110.0,68,94.0,64.0
Complète,Gobelins,75013,4,1.0,1.0,2.0,61.0,6,87.0,1.0
Complète,Observatoire,75014,2,1.0,1.0,1.0,91.0,140,99.0,57.0
Chambre privée,Buttes-Chaumont,75019,2,1.0,1.0,1.0,55.0,56,91.0,60.0
Complète,Entrepôt,75010,2,1.5,1.0,2.0,90.0,27,97.0,65.0
Complète,Ménilmontant,75020,2,1.0,,1.0,43.0,1,80.0,0.0
Chambre privée,Buttes-Montmartre,75018,2,1.0,1.0,1.0,75.0,78,99.0,57.0
Complète,Panthéon,75005,4,2.5,3.0,3.0,205.0,24,97.0,57.0
Complète,Buttes-Montmartre,75018,4,1.0,1.0,2.0,40.0,0,,
Complète,Panthéon,75005,2,1.5,,1.0,93.0,158,88.0,64.0
Complète,Louvre,75001,4,1.5,1.0,2.0,139.0,116,97.0,65.0
Complète,Reuilly,75012,4,1.0,2.0,3.0,120.0,18,97.0,7.0
Complète,Reuilly,75012,2,1.0,1.0,1.0,80.0,1,80.0,0.0
Complète,Temple,75003,2,1.0,1.0,1.0,57.0,28,97.0,39.0
Complète,Vaugirard,75015,5,1.0,3.0,1.0,115.0,0,,
Complète,Temple,75003,2,1.0,1.0,1.0,90.0,113,88.0,37.0
Chambre privée,Buttes-Montmartre,75018,1,1.0,1.0,1.0,35.0,7,87.0,68.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,65.0,0,,
Complète,Passy,75016,1,1.0,,1.0,50.0,102,91.0,64.0
Chambre privée,Luxembourg,75006,2,1.0,1.0,1.0,66.0,2,100.0,1.0
Complète,Passy,75016,4,1.0,2.0,2.0,70.0,0,,
Complète,Temple,75003,2,1.0,1.0,1.0,500.0,18,94.0,41.0
Complète,Passy,75016,4,1.0,1.0,0.0,159.0,7,83.0,55.0
Complète,Ménilmontant,75020,2,1.0,,2.0,20.0,0,,
Complète,Reuilly,75012,2,1.0,,1.0,50.0,41,94.0,63.0
Complète,Passy,75016,2,1.0,1.0,1.0,79.0,108,93.0,66.0
Complète,Vaugirard,75015,5,1.0,2.0,3.0,125.0,89,89.0,66.0
Complète,Entrepôt,75010,4,1.0,1.0,2.0,65.0,15,96.0,18.0
Complète,Observatoire,75014,4,1.5,1.0,1.0,70.0,44,89.0,62.0
Complète,Gobelins,75013,4,1.0,2.0,2.0,110.0,35,98.0,55.0
Complète,Luxembourg,75006,2,1.0,1.0,1.0,150.0,136,99.0,78.0
Complète,Ménilmontant,75020,2,1.0,2.0,2.0,81.0,16,97.0,20.0
Complète,Vaugirard,75015,4,1.0,1.0,2.0,140.0,19,100.0,46.0
Complète,Buttes-Chaumont,75019,2,1.0,1.0,1.0,70.0,0,,
Chambre privée,Buttes-Montmartre,75018,2,1.0,1.0,1.0,70.0,186,95.0,76.0
Complète,Observatoire,75014,3,1.5,1.0,2.0,70.0,36,91.0,53.0
Complète,Opéra,75009,4,1.0,2.0,3.0,95.0,21,96.0,59.0
Chambre privée,Panthéon,75005,1,1.0,1.0,1.0,47.0,77,92.0,60.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,90.0,20,98.0,43.0
Complète,Hôtel-de-Ville,75004,3,1.0,1.0,2.0,101.0,22,93.0,30.0
Complète,Temple,75003,4,1.0,1.0,2.0,329.0,10,82.0,71.0
Complète,Opéra,75009,2,1.0,1.0,2.0,60.0,17,96.0,57.0
Complète,Popincourt,75011,4,1.5,2.0,2.0,140.0,143,98.0,64.0
Complète,Vaugirard,75015,3,1.0,1.0,1.0,83.0,27,91.0,55.0
Chambre privée,Buttes-Montmartre,75018,2,1.0,1.0,1.0,45.0,49,93.0,33.0
Complète,Passy,75016,1,1.0,,1.0,50.0,293,97.0,74.0
Chambre privée,Buttes-Chaumont,75019,2,1.0,1.0,1.0,39.0,8,89.0,20.0
Complète,Luxembourg,75006,4,1.0,1.0,4.0,150.0,40,98.0,52.0
Complète,Temple,75003,2,1.0,1.0,2.0,108.0,12,90.0,23.0
Complète,Buttes-Chaumont,75019,3,1.0,,1.0,35.0,8,94.0,17.0
Complète,Entrepôt,75010,2,1.0,2.0,2.0,90.0,0,,
Complète,Popincourt,75011,2,1.0,1.0,2.0,110.0,11,98.0,76.0
Chambre privée,Palais-Bourbon,75007,2,1.0,1.0,1.0,25.0,3,100.0,1.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,80.0,0,,
